t,rcp_p,gslr,year
1,rcp85_p5,0.028898,2010
1,rcp85_p50,0.039991,2010
1,rcp85_p95,0.05097,2010
1,rcp45_p5,0.028892,2010
1,rcp45_p50,0.040315,2010
1,rcp45_p95,0.051712,2010
1,rcp26_p5,0.030192,2010
1,rcp26_p50,0.041095,2010
1,rcp26_p95,0.051932,2010
2,rcp85_p5,0.063538,2020
2,rcp85_p50,0.086521,2020
2,rcp85_p95,0.10925,2020
2,rcp45_p5,0.062153,2020
2,rcp45_p50,0.085427,2020
2,rcp45_p95,0.10866,2020
2,rcp26_p5,0.064633,2020
2,rcp26_p50,0.087174,2020
2,rcp26_p95,0.10956,2020
3,rcp85_p5,0.10629,2030
3,rcp85_p50,0.14337,2030
3,rcp85_p95,0.1826,2030
3,rcp45_p5,0.10043,2030
3,rcp45_p50,0.13824,2030
3,rcp45_p95,0.17765,2030
3,rcp26_p5,0.10265,2030
3,rcp26_p50,0.13869,2030
3,rcp26_p95,0.17629,2030
4,rcp85_p5,0.15379,2040
4,rcp85_p50,0.21006,2040
4,rcp85_p95,0.27339,2040
4,rcp45_p5,0.14108,2040
4,rcp45_p50,0.19622,2040
4,rcp45_p95,0.25575,2040
4,rcp26_p5,0.14119,2040
4,rcp26_p50,0.19168,2040
4,rcp26_p95,0.24756,2040
5,rcp85_p5,0.20595,2050
5,rcp85_p50,0.28651,2050
5,rcp85_p95,0.38371,2050
5,rcp45_p5,0.18216,2050
5,rcp45_p50,0.25901,2050
5,rcp45_p95,0.34674,2050
5,rcp26_p5,0.17658,2050
5,rcp26_p50,0.24544,2050
5,rcp26_p95,0.32804,2050
6,rcp85_p5,0.2634,2060
6,rcp85_p50,0.37258,2060
6,rcp85_p95,0.51396,2060
6,rcp45_p5,0.22054,2060
6,rcp45_p50,0.32513,2060
6,rcp45_p95,0.44987,2060
6,rcp26_p5,0.20573,2060
6,rcp26_p50,0.29848,2060
6,rcp26_p95,0.41473,2060
7,rcp85_p5,0.32576,2070
7,rcp85_p50,0.46816,2070
7,rcp85_p95,0.66255,2070
7,rcp45_p5,0.25848,2070
7,rcp45_p50,0.39257,2070
7,rcp45_p95,0.56072,2070
7,rcp26_p5,0.2313,2070
7,rcp26_p50,0.35015,2070
7,rcp26_p95,0.50683,2070
8,rcp85_p5,0.39115,2080
8,rcp85_p50,0.57024,2080
8,rcp85_p95,0.83047,2080
8,rcp45_p5,0.29427,2080
8,rcp45_p50,0.46075,2080
8,rcp45_p95,0.67818,2080
8,rcp26_p5,0.25558,2080
8,rcp26_p50,0.40029,2080
8,rcp26_p95,0.60646,2080
9,rcp85_p5,0.4572,2090
9,rcp85_p50,0.67877,2090
9,rcp85_p95,1.0132,2090
9,rcp45_p5,0.32493,2090
9,rcp45_p50,0.52786,2090
9,rcp45_p95,0.8027,2090
9,rcp26_p5,0.27428,2090
9,rcp26_p50,0.44945,2090
9,rcp26_p95,0.71063,2090
10,rcp85_p5,0.509695,2100
10,rcp85_p50,0.773935,2100
10,rcp85_p95,1.19035,2100
10,rcp45_p5,0.347175,2100
10,rcp45_p50,0.596125,2100
10,rcp45_p95,0.9442,2100
10,rcp26_p5,0.300505,2100
10,rcp26_p50,0.49659,2100
10,rcp26_p95,0.822635,2100
