Unnamed: 0,optA,value,slr,L,s1,lon,lat
Canada5106,noAdaptation,0.0,0.42456000000000005,86.08,0.41200000000000003,-122.645,75.918
Canada5115,noAdaptation,0.0,0.42456000000000005,123.51,0.514,-121.031,75.891
Canada5120,noAdaptation,0.0,0.42456000000000005,2860.4570000000003,0.319,-116.79899999999999,77.53399999999999
Canada5132,noAdaptation,0.0,0.42456000000000005,467.98800000000006,0.63,-118.191,75.968
Canada5166,noAdaptation,0.0,0.42456000000000005,520.491,0.965,-115.022,74.96300000000001
Canada5167,noAdaptation,0.0,0.42456000000000005,1857.2089999999998,0.8909999999999999,-114.98200000000001,75.85300000000001
Canada5202,noAdaptation,0.0,0.42456000000000005,204.602,0.775,-115.07700000000001,77.939
Canada5168,,,,,,,
Canada5169,,,,,,,
Canada5171,,,,,,,
Canada5172,,,,,,,
Canada5173,,,,,,,
Canada5175,,,,,,,
Canada5177,,,,,,,
Canada5178,,,,,,,
Canada5179,,,,,,,
Canada5180,,,,,,,
Canada5181,,,,,,,
Canada5203,,,,,,,
Canada5204,,,,,,,
Canada5218,,,,,,,
Canada5221,,,,,,,
Canada5265,,,,,,,
Canada5266,,,,,,,
Canada5267,,,,,,,
Canada5268,,,,,,,
Canada5269,,,,,,,
Canada5270,,,,,,,
Canada5170,,,,,,,
Canada5353,,,,,,,
Canada5174,,,,,,,
Canada5176,,,,,,,
Canada5527,,,,,,,
Canada5691,,,,,,,
Canada7437,noAdaptation,0.0,0.07695,164.69099999999997,6.279,-67.92,60.537
Denmark7037,noAdaptation,1.5125051569799999,0.07695,606.342,1.845,-64.921,80.062
Denmark7038,,,,,,,
Denmark7039,,,,,,,
Denmark7040,,,,,,,
Denmark7041,,,,,,,
Denmark7042,,,,,,,
Denmark7348,,,,,,,
Denmark7349,,,,,,,
Denmark7350,,,,,,,
Denmark7043,noAdaptation,0.0571757762125,-0.16562000000000002,38.78,1.79,-64.78399999999999,80.905
Denmark7044,,,,,,,
Denmark7045,noAdaptation,4.592995382330001,0.07637999999999999,547.438,1.709,-63.019,80.88
Denmark7046,noAdaptation,0.0,0.07637999999999999,47.203,1.618,-61.247,81.12100000000001
Denmark7047,noAdaptation,8.14795922903,0.07637999999999999,809.097,1.189,-59.765,81.913
Denmark7053,noAdaptation,3.6736838877699993,0.07637999999999999,1180.4489999999998,1.072,-57.408,82.17
Denmark7054,noAdaptation,0.0,0.07637999999999999,3.687,0.597,-53.537,82.057
Denmark7055,noAdaptation,1.6728428752700002,0.07637999999999999,877.203,0.6779999999999999,-51.163999999999994,81.857
Denmark7056,noAdaptation,0.0,0.07637999999999999,18.553,0.684,-50.208,81.904
Denmark7057,noAdaptation,0.0269050467387,0.07637999999999999,41.047,0.688,-49.942,81.88
Denmark7106,fullRetreat,0.00268846315955,0.07637999999999999,191.80599999999998,0.688,-50.053000000000004,82.029
Denmark7107,noAdaptation,0.0,0.07637999999999999,7.515,0.622,-50.838,82.35700000000001
Denmark7108,fullRetreat,0.40062145387599996,0.0043015,360.968,0.631,-49.782,82.51299999999999
Denmark7961,fullRetreat,0.0215077052764,0.07637999999999999,114.62100000000001,0.607,-52.099,82.291
Denmark7964,fullRetreat,0.276911705434,0.07637999999999999,503.853,0.5920000000000001,-52.953,82.32600000000001
Denmark7058,noAdaptation,0.0,0.07637999999999999,6.806,0.696,-49.727,81.878
Denmark7105,noAdaptation,0.0,0.07637999999999999,3.359,0.718,-49.681999999999995,81.882
Denmark7117,fullRetreat,0.0816080739377,0.0043015,386.088,0.731,-46.472,82.105
Denmark7118,fullRetreat,0.0,0.0043015,9.271,0.883,-44.958,81.773
Denmark7125,noAdaptation,0.0350789532626,0.0043015,469.38599999999997,0.7440000000000001,-44.041000000000004,82.446
Denmark7126,fullRetreat,0.0,0.0043015,4.633,0.6829999999999999,-45.396,82.781
Denmark7127,fullRetreat,0.00367125870956,0.0043015,115.848,0.6920000000000001,-44.854,82.772
Denmark7135,fullRetreat,0.14837831625,0.0043015,2707.703,0.706,-43.468,82.912
Denmark8017,fullRetreat,0.00257390956761,0.0043015,169.132,0.643,-48.793,82.557
Denmark8018,fullRetreat,0.0,0.0043015,1.547,0.659,-48.036,82.46600000000001
Denmark8019,fullRetreat,0.000151406445153,0.0043015,21.136999999999997,0.6609999999999999,-48.119,82.40700000000001
Denmark8022,fullRetreat,0.00514781913521,0.0043015,222.729,0.664,-48.089,82.88600000000001
Denmark8080,fullRetreat,0.000151406445153,0.0043015,189.702,0.6709999999999999,-47.13399999999999,82.931
Denmark8101,fullRetreat,0.0673758680932,0.0043015,837.659,0.6679999999999999,-46.81399999999999,82.671
Denmark7119,noAdaptation,0.028591812741499998,0.0043015,46.847,0.8079999999999999,-44.708,81.759
Denmark7120,fullRetreat,0.0,0.0043015,5.394,0.784,-44.476000000000006,81.78699999999999
Denmark7121,noAdaptation,0.0267262910414,0.0043015,539.639,0.755,-44.736000000000004,82.23200000000001
Denmark7128,fullRetreat,0.0,0.0043015,9.269,0.701,-44.292,82.764
Denmark7129,fullRetreat,0.00367125870956,0.0043015,311.38599999999997,0.722,-42.85,82.77799999999999
Denmark7130,fullRetreat,0.0,0.0043015,7.622999999999999,0.7859999999999999,-41.821999999999996,82.52600000000001
Denmark7131,fullRetreat,0.019380024979599998,0.0043015,363.76199999999994,0.795,-40.968999999999994,82.65100000000001
Denmark7132,fullRetreat,0.0,0.0043015,8.419,0.81,-40.01,82.564
Denmark7133,noAdaptation,0.0288734009227,0.0043015,36.07,0.816,-39.891,82.655
Denmark7134,fullRetreat,0.0,0.0043015,9.368,0.782,-40.083,82.70700000000001
Denmark8124,fullRetreat,0.000151406445153,0.0043015,103.17,0.74,-42.233999999999995,83.272
Denmark8136,fullRetreat,0.00757032225767,0.0043015,96.306,0.748,-41.681000000000004,83.31200000000001
Denmark8137,fullRetreat,0.0,0.0043015,3.8139999999999996,0.7440000000000001,-41.233000000000004,83.304
Denmark8138,fullRetreat,0.0,0.0043015,1.545,0.7390000000000001,-41.246,83.288
Denmark8139,noAdaptation,0.025775930930000003,0.0043015,134.468,0.728,-41.448,83.242
Denmark8160,noAdaptation,0.025635136839400004,0.0043015,365.718,0.7240000000000001,-41.463,83.165
