,optA,value,slr,L,s1,lon,lat
Denmark3051,fullRetreat,2545.77614689,0.25727,107.803,0.504,10.271,56.732
Denmark3052,fullRetreat,13770.8199655,0.257595,103.59,0.65,9.224,56.947
Denmark3053,fullRetreat,269.622088408,0.16508,4.133,0.579,9.685,57.038
Denmark3054,fullRetreat,346.728893076,0.16508,9.993,0.465,9.747,57.05
Denmark3055,fullRetreat,5058.12524268,0.16508,28.781,0.529,9.92,57.054
Denmark3059,fullRetreat,25185.9725658,0.257595,163.057,0.56,9.121,56.681
Denmark8924,fullRetreat,615.505043272,0.257595,128.993,0.573,8.477,57.024
Denmark8926,fullRetreat,7530.34722984,0.257595,97.064,0.669,8.707,56.953
Denmark8927,noAdaptation,5307.74297383,0.16508,232.273,0.578,9.914,57.553
Denmark8928,fullRetreat,3647.21089679,0.16508,77.277,0.834,9.446,57.036
Denmark8929,fullRetreat,11611.3090573,0.16508,28.114,0.641,9.918,57.082
Denmark3056,fullRetreat,366.683581765,0.16508,1.969,0.463,10.05,57.045
Denmark3057,fullRetreat,291.682797289,0.16508,2.952,0.482,10.071,57.037
Denmark3058,fullRetreat,425.801789175,0.16508,4.756,0.507,10.103,57.026
Denmark8930,fullRetreat,1178.31648897,0.16508,9.569,0.68,10.081,57.06
Denmark8931,fullRetreat,4317.68397427,0.17212,22.264,0.523,10.471,57.496
Denmark8932,fullRetreat,2198.42485287,0.17212,81.503,0.512,10.4,57.114
Denmark8987,fullRetreat,456.986866704,0.17212,81.846,0.751,11.071,57.324
Denmark3060,fullRetreat,4576.73113586,0.257595,89.951,0.878,8.422,56.577
Denmark8923,fullRetreat,136.113255169,0.257595,19.108,0.847,8.475,56.633
Denmark8925,fullRetreat,2359.93935306,0.257595,34.726,0.627,8.569,56.685
Denmark8933,fullRetreat,10356.5411652,0.257595,122.343,0.743,8.815,56.906
Denmark3046,fullRetreat,51.0781628728,0.25727,1.373,1.005,10.006,55.874
Denmark3049,fullRetreat,9471.82154535,0.25727,312.286,0.527,10.773,56.533
Denmark3047,fullRetreat,43318.7813709,0.25727,44.16,0.326,10.24,56.173
Denmark3048,fullRetreat,4362.83940191,0.25727,43.139,1.034,10.186,55.831
Denmark3050,noAdaptation,77.2286112729,0.25727,1.792,0.301,10.409,56.291
Denmark8977,fullRetreat,1447.76183532,0.25727,78.068,0.538,10.558,55.979
Denmark3061,fullRetreat,17553.3051908,0.31849,200.559,1.434,8.261,56.08
