"scenario","variable","unit","period","region","value"
"SSP2_rcpNoC","CDD","dK/a",1960,"AFR",2075.58020306197
"SSP2_rcpNoC","CDD","dK/a",1960,"AUT",63.4928
"SSP2_rcpNoC","CDD","dK/a",1960,"BEL",34.7918
"SSP2_rcpNoC","CDD","dK/a",1960,"BGR",252.076
"SSP2_rcpNoC","CDD","dK/a",1960,"BRA",1801.79
"SSP2_rcpNoC","CDD","dK/a",1960,"CHN",926.963818495999
"SSP2_rcpNoC","CDD","dK/a",1960,"CYP",1361.38
"SSP2_rcpNoC","CDD","dK/a",1960,"CZE",50.5038
"SSP2_rcpNoC","CDD","dK/a",1960,"DEU",43.3178
"SSP2_rcpNoC","CDD","dK/a",1960,"DNK",30
"SSP2_rcpNoC","CDD","dK/a",1960,"ESP",473.022
"SSP2_rcpNoC","CDD","dK/a",1960,"EST",46.8847
"SSP2_rcpNoC","CDD","dK/a",1960,"FIN",39.1836
"SSP2_rcpNoC","CDD","dK/a",1960,"FRA",104.654
"SSP2_rcpNoC","CDD","dK/a",1960,"GBR",30
"SSP2_rcpNoC","CDD","dK/a",1960,"GRC",686.688
"SSP2_rcpNoC","CDD","dK/a",1960,"HRV",221.321
"SSP2_rcpNoC","CDD","dK/a",1960,"HUN",204.901
"SSP2_rcpNoC","CDD","dK/a",1960,"IND",2897.44
"SSP2_rcpNoC","CDD","dK/a",1960,"IRL",30
"SSP2_rcpNoC","CDD","dK/a",1960,"ITA",369.946
"SSP2_rcpNoC","CDD","dK/a",1960,"JPN",676.837
"SSP2_rcpNoC","CDD","dK/a",1960,"LTU",67.6319
"SSP2_rcpNoC","CDD","dK/a",1960,"LUX",30
"SSP2_rcpNoC","CDD","dK/a",1960,"LVA",53.8189
"SSP2_rcpNoC","CDD","dK/a",1960,"MEX",1123.79
"SSP2_rcpNoC","CDD","dK/a",1960,"MIE",1110.00478842499
"SSP2_rcpNoC","CDD","dK/a",1960,"MLT",30
"SSP2_rcpNoC","CDD","dK/a",1960,"NCD",967.288377330674
"SSP2_rcpNoC","CDD","dK/a",1960,"NLD",30
"SSP2_rcpNoC","CDD","dK/a",1960,"OAS",2500.80156407574
"SSP2_rcpNoC","CDD","dK/a",1960,"OCD",342.926303255576
"SSP2_rcpNoC","CDD","dK/a",1960,"POL",64.8464
"SSP2_rcpNoC","CDD","dK/a",1960,"PRT",319.96
"SSP2_rcpNoC","CDD","dK/a",1960,"ROU",230.858
"SSP2_rcpNoC","CDD","dK/a",1960,"RUS",196.409
"SSP2_rcpNoC","CDD","dK/a",1960,"SVK",61.771
"SSP2_rcpNoC","CDD","dK/a",1960,"SVN",94.2353
"SSP2_rcpNoC","CDD","dK/a",1960,"SWE",30
"SSP2_rcpNoC","CDD","dK/a",1960,"USA",777.1652050604
"SSP2_rcpNoC","CDD","dK/a",1960,"ZAF",646.757
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"AFR",1219.02359424807
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"AUT",10807.6603590951
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"BEL",10439.5301287097
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"BGR",2482.83498211537
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"BRA",3140.75715998886
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"CHN",347.780138493957
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"CYP",4211.57184100414
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"CZE",8585.51996294435
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"DEU",11498.4605146841
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"DNK",12345.7405261963
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"ESP",6510.73498368971
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"EST",5316.48101543401
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"FIN",9099.53319358807
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"FRA",10444.639707116
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"GBR",12494.0715150707
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"GRC",6693.53209684285
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"HRV",8091.67373904469
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"HUN",5065.62291242318
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"IND",653.612019395286
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"IRL",7035.11382542682
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"ITA",9019.15489253406
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"JPN",6248.52101382028
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"LTU",6487.66578890464
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"LUX",18049.9099742317
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"LVA",4694.19215639373
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"MEX",5145.89478601713
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"MIE",3830.09336968169
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"MLT",2805.06805898292
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"NCD",4388.39503839511
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"NLD",12953.0204436585
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"OAS",890.720360189702
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"OCD",9907.52431219319
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"POL",4532.97788751104
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"PRT",4496.3288003488
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"ROU",2319.8299017695
"SSP2_rcpNoC","gdppop","2005USD/capita",1960,"RUS",6992.70118510581
