year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
1950,0.02183937153385303,2.6275584507592987e-05,1.3629888353864773e-05,0.14532461334875715,5.983429853363149e-05,0.48540279866147124,0.07797055998010503,0.2693629167044186,0.0,0.0,0.0,0.0
1951,0.02190651414021427,3.243982734185204e-05,1.491933935612443e-05,0.1426367697075651,6.337468313374798e-05,0.47851558571829983,0.08153846915509405,0.2752919274289953,0.0,0.0,0.0,0.0
1952,0.021959116205954015,4.00233211240214e-05,1.6319818625858806e-05,0.13982416915926216,6.707950343622806e-05,0.47151551701906025,0.08525204854241768,0.28132572643011977,0.0,0.0,0.0,0.0
1953,0.021995233971542252,4.9342353595678646e-05,1.783828964715347e-05,0.13692731877752817,7.09473250113685e-05,0.4643520605030381,0.08910632625068214,0.28748093252895507,0.0,0.0,0.0,0.0
1954,0.02201302104490313,6.078045299213097e-05,1.948177075660605e-05,0.13397390981251614,7.497553019373499e-05,0.4569819827094388,0.09309378212227445,0.293782066556925,0.0,0.0,0.0,0.0
1955,0.022010709432405153,7.480167673476961e-05,2.1257244853629922e-05,0.1309803005633073,7.916011105146163e-05,0.4493683712062297,0.09720362509257702,0.30026177467284104,0.0,0.0,0.0,0.0
1956,0.021986604246090374,9.19662462241603e-05,2.3171558667746107e-05,0.1279529808528325,8.349548097720656e-05,0.44148002415710097,0.10142100698313937,0.3069607504749676,0.0,0.0,0.0,0.0
1957,0.0219390874890535,0.00011294886462275554,2.5231310230954583e-05,0.12489048755131098,8.797430183155439e-05,0.43329107556063395,0.1057261691105139,0.31392702581180243,0.0,0.0,0.0,0.0
1958,0.021866638402647798,0.00013856014897109417,2.744273685714079e-05,0.12178585024605024,9.258737036256805e-05,0.4247809750075488,0.11009358501786252,0.3212143610696999,0.0,0.0,0.0,0.0
1959,0.021767880169990744,0.00016977176547997117,2.981162780854345e-05,0.11862963719341066,9.732363508533335e-05,0.41593496804504215,0.11449120570030295,0.32887940186287973,0.0,0.0,0.0,0.0
1960,0.021641633488400012,0.00020774585785464925,3.234325648654507e-05,0.11541493094584887,0.00010217030239866152,0.4067446511276943,0.11887979536481459,0.3369767296565023,0.0,0.0,0.0,0.0
1961,0.02148704371255533,0.00025387036742179325,3.504245536862617e-05,0.11214211412327307,0.00010711339033046362,0.39720982002769534,0.12321283287817414,0.3455521630451814,0.0,0.0,0.0,0.0
1962,0.021303819512003223,0.0003098031483423392,3.791398990559325e-05,0.10882226277415537,0.0001121390905938646,0.38734214583970117,0.1274374421621821,0.3546344734831163,0.0,0.0,0.0,0.0
1963,0.021092605580083728,0.00037753010874984653,4.0963438288884766e-05,0.10547810847479692,0.00011723633812160325,0.37717085418290186,0.13149683120153205,0.36422587067552503,0.0,0.0,0.0,0.0
1964,0.020855514372445337,0.00045944684725213983,4.4198876562433776e-05,0.10214062142229824,0.0001224011155879316,0.36675058346457995,0.1353348009743996,0.3742924329268743,0.0,0.0,0.0,0.0
1965,0.020095624540703516,0.0005587515466352452,4.765807174367095e-05,0.09889031452096785,0.00012770823858878288,0.35635313198674345,0.13897372839078834,0.38495308270382916,0.0,0.0,0.0,0.0
1966,0.020502231864958583,0.0007140662299092188,5.16204456969189e-05,0.09622354152210681,0.0001338481894948529,0.34359935707898476,0.14408762470916767,0.3946877099596812,0.0,0.0,0.0,0.0
1967,0.020264844501086853,0.0008463875308230964,5.662592071796138e-05,0.09485905290253793,0.00014207390924474313,0.3265491634197196,0.14910091056555197,0.4081809412503179,0.0,0.0,0.0,0.0
1968,0.02019070566847698,0.0009814884092183796,6.10466140726392e-05,0.09191895488163818,0.00014820707553844445,0.31440939035658155,0.15351297339545864,0.4187772335990152,0.0,0.0,0.0,0.0
1969,0.020138865834718377,0.0011258286550937188,6.52834967419627e-05,0.08834774089345682,0.00015336246058533662,0.302647237613934,0.1590966226608568,0.42842505838461303,0.0,0.0,0.0,0.0
1970,0.01986711100885542,0.001309446695146635,7.012315888642934e-05,0.08526918983949358,0.00015939894193675493,0.29078137239563745,0.16361825334097171,0.4389043083483359,2.079627073611011e-05,0.0,0.0,0.0
1971,0.01998641015335575,0.0017970566144146205,7.68678412995498e-05,0.08396415933833096,0.0001690740477708301,0.27876699032688246,0.16848963268640207,0.4467151488696199,3.4660121923849384e-05,0.0,0.0,0.0
1972,0.01995382611830985,0.0023512599273746173,8.330349207457752e-05,0.08171787982990268,0.00017729797507344666,0.26955802102082166,0.16879593081250258,0.45733006118494324,3.241963899736984e-05,0.0,0.0,0.0
1973,0.019092870038397693,0.00299349978706429,8.969588895399379e-05,0.07899169716087376,0.00018472318556824488,0.2625413447859532,0.16814673167870256,0.4679246370064221,3.4800468064200875e-05,0.0,0.0,0.0
1974,0.020931570370255774,0.003889880071221538,0.00010186566733451308,0.08050205832444536,0.0002029948446470735,0.26205011370736453,0.1713804476761826,0.4608965694916942,4.449984685451234e-05,0.0,0.0,0.0
1975,0.02110740694935989,0.005359208164766841,0.00011523850178764923,0.0816856534352747,0.00022220973431200716,0.26666067544688693,0.17010078515666793,0.4546955742306545,5.324838028961628e-05,0.0,0.0,0.0
1976,0.02013677973440994,0.006069765644571953,0.00012464991594128127,0.07921295566570005,0.00023257646728230187,0.2638196427112409,0.17101414671964582,0.45933640330596043,5.307983524732799e-05,0.0,0.0,0.0
1977,0.01999349263719393,0.007248158883719049,0.00013685247982218952,0.0779337575417414,0.00024707838491437,0.26333016753265837,0.17065419688861988,0.46040814926661006,4.814638472086823e-05,0.0,0.0,0.0
1978,0.020759673840070048,0.008093019087208603,0.00015007661378665512,0.07656593417662629,0.00026218232312372284,0.2577011236999594,0.17125327377904984,0.4651845650245794,3.0111860389316755e-05,3.959520662464116e-08,0.0,0.0
1979,0.021092213775823283,0.008107249804951117,0.00016536642199795526,0.07557679821860362,0.0002795413240325755,0.25972430377978584,0.17603524021511724,0.4589708849385962,4.832471023039635e-05,7.681086159391367e-08,0.0,0.0
